color_index,color_set_num,color_set_tile_num,color_tile_at_this_location,color_tile_error
0,1,1,12,11
1,1,2,2,0
2,1,3,14,11
3,1,4,6,2
4,1,5,9,4
5,1,6,8,2
6,1,7,1,6
7,1,8,15,7
8,1,9,7,2
9,1,10,3,7
10,1,11,10,1
11,1,12,13,1
12,1,13,5,8
13,1,14,4,10
14,1,15,11,4
15,2,1,7,6
16,2,2,11,9
17,2,3,1,2
18,2,4,10,6
19,2,5,4,1
20,2,6,15,9
21,2,7,14,7
22,2,8,6,2
23,2,9,5,4
24,2,10,2,8
25,2,11,3,8
26,2,12,13,1
27,2,13,9,4
28,2,14,8,6
29,2,15,12,3
30,3,1,3,2
31,3,2,14,12
32,3,3,7,4
33,3,4,12,8
34,3,5,1,4
35,3,6,5,1
36,3,7,2,5
37,3,8,8,0
38,3,9,15,6
39,3,10,11,1
40,3,11,10,1
41,3,12,4,8
42,3,13,13,0
43,3,14,9,5
44,3,15,6,9
45,4,1,4,3
46,4,2,11,9
47,4,3,9,6
48,4,4,1,3
49,4,5,14,9
50,4,6,10,4
51,4,7,13,6
52,4,8,2,6
53,4,9,6,3
54,4,10,5,5
55,4,11,8,3
56,4,12,15,3
57,4,13,12,1
58,4,14,3,11
59,4,15,7,8
60,5,1,13,12
61,5,2,3,1
62,5,3,8,5
63,5,4,14,10
64,5,5,2,3
65,5,6,11,5
66,5,7,4,3
67,5,8,6,2
68,5,9,7,2
69,5,10,9,1
70,5,11,15,4
71,5,12,5,7
72,5,13,1,12
73,5,14,10,4
74,5,15,12,3
75,6,1,8,7
76,6,2,9,7
77,6,3,4,1
78,6,4,5,1
79,6,5,2,3
80,6,6,13,7
81,6,7,3,4
82,6,8,7,1
83,6,9,12,3
84,6,10,11,1
85,6,11,14,3
86,6,12,6,6
87,6,13,1,12
88,6,14,15,1
89,6,15,10,5
