study_version,color_index,color_set_num,color_set_tile_num,r,g,b,color_string
v1,0,1,1,249,153,189,"rgb(249,153,189)"
v1,1,1,2,247,154,194,"rgb(247,154,194)"
v1,2,1,3,244,155,198,"rgb(244,155,198)"
v1,3,1,4,242,156,203,"rgb(242,156,203)"
v1,4,1,5,238,157,208,"rgb(238,157,208)"
v1,5,1,6,235,158,213,"rgb(235,158,213)"
v1,6,1,7,231,159,217,"rgb(231,159,217)"
v1,7,1,8,226,160,222,"rgb(226,160,222)"
v1,8,1,9,222,162,226,"rgb(222,162,226)"
v1,9,1,10,216,164,230,"rgb(216,164,230)"
v1,10,1,11,211,165,234,"rgb(211,165,234)"
v1,11,1,12,205,167,237,"rgb(205,167,237)"
v1,12,1,13,199,169,240,"rgb(199,169,240)"
v1,13,1,14,193,171,243,"rgb(193,171,243)"
v1,14,1,15,186,172,246,"rgb(186,172,246)"
v1,15,2,1,179,174,248,"rgb(179,174,248)"
v1,16,2,2,172,176,250,"rgb(172,176,250)"
v1,17,2,3,164,178,252,"rgb(164,178,252)"
v1,18,2,4,157,180,254,"rgb(157,180,254)"
v1,19,2,5,149,181,255,"rgb(149,181,255)"
v1,20,2,6,140,183,255,"rgb(140,183,255)"
v1,21,2,7,132,185,255,"rgb(132,185,255)"
v1,22,2,8,123,186,255,"rgb(123,186,255)"
v1,23,2,9,115,188,255,"rgb(115,188,255)"
v1,24,2,10,106,189,254,"rgb(106,189,254)"
v1,25,2,11,96,191,253,"rgb(96,191,253)"
v1,26,2,12,87,192,252,"rgb(87,192,252)"
v1,27,2,13,78,193,250,"rgb(78,193,250)"
v1,28,2,14,68,194,248,"rgb(68,194,248)"
v1,29,2,15,58,196,245,"rgb(58,196,245)"
v1,30,3,1,48,196,242,"rgb(48,196,242)"
v1,31,3,2,38,197,239,"rgb(38,197,239)"
v1,32,3,3,27,198,236,"rgb(27,198,236)"
v1,33,3,4,16,199,232,"rgb(16,199,232)"
v1,34,3,5,5,200,228,"rgb(5,200,228)"
v1,35,3,6,0,200,224,"rgb(0,200,224)"
v1,36,3,7,1,201,220,"rgb(1,201,220)"
v1,37,3,8,8,201,215,"rgb(8,201,215)"
v1,38,3,9,19,201,211,"rgb(19,201,211)"
v1,39,3,10,29,202,206,"rgb(29,202,206)"
v1,40,3,11,39,202,201,"rgb(39,202,201)"
v1,41,3,12,47,202,196,"rgb(47,202,196)"
v1,42,3,13,56,202,191,"rgb(56,202,191)"
v1,43,3,14,64,202,186,"rgb(64,202,186)"
v1,44,3,15,72,202,181,"rgb(72,202,181)"
v1,45,4,1,79,201,176,"rgb(79,201,176)"
v1,46,4,2,87,201,170,"rgb(87,201,170)"
v1,47,4,3,94,201,165,"rgb(94,201,165)"
v1,48,4,4,101,200,160,"rgb(101,200,160)"
v1,49,4,5,107,200,156,"rgb(107,200,156)"
v1,50,4,6,114,199,151,"rgb(114,199,151)"
v1,51,4,7,120,199,146,"rgb(120,199,146)"
v1,52,4,8,127,198,142,"rgb(127,198,142)"
v1,53,4,9,133,197,137,"rgb(133,197,137)"
v1,54,4,10,139,196,133,"rgb(139,196,133)"
v1,55,4,11,145,195,129,"rgb(145,195,129)"
v1,56,4,12,151,194,126,"rgb(151,194,126)"
v1,57,4,13,157,193,122,"rgb(157,193,122)"
v1,58,4,14,162,192,119,"rgb(162,192,119)"
v1,59,4,15,168,191,117,"rgb(168,191,117)"
v1,60,5,1,173,190,114,"rgb(173,190,114)"
v1,61,5,2,179,188,112,"rgb(179,188,112)"
v1,62,5,3,184,187,110,"rgb(184,187,110)"
v1,63,5,4,189,185,109,"rgb(189,185,109)"
v1,64,5,5,194,184,108,"rgb(194,184,108)"
v1,65,5,6,199,182,108,"rgb(199,182,108)"
v1,66,5,7,204,181,107,"rgb(204,181,107)"
v1,67,5,8,208,179,107,"rgb(208,179,107)"
v1,68,5,9,213,177,108,"rgb(213,177,108)"
v1,69,5,10,217,176,109,"rgb(217,176,109)"
v1,70,5,11,221,174,110,"rgb(221,174,110)"
v1,71,5,12,225,172,112,"rgb(225,172,112)"
v1,72,5,13,229,170,114,"rgb(229,170,114)"
v1,73,5,14,233,169,116,"rgb(233,169,116)"
v1,74,5,15,236,167,119,"rgb(236,167,119)"
v1,75,6,1,239,165,122,"rgb(239,165,122)"
v1,76,6,2,242,164,125,"rgb(242,164,125)"
v1,77,6,3,245,162,129,"rgb(245,162,129)"
v1,78,6,4,247,161,132,"rgb(247,161,132)"
v1,79,6,5,249,159,136,"rgb(249,159,136)"
v1,80,6,6,251,158,140,"rgb(251,158,140)"
v1,81,6,7,252,157,145,"rgb(252,157,145)"
v1,82,6,8,253,156,149,"rgb(253,156,149)"
v1,83,6,9,254,155,154,"rgb(254,155,154)"
v1,84,6,10,254,154,159,"rgb(254,154,159)"
v1,85,6,11,254,154,163,"rgb(254,154,163)"
v1,86,6,12,254,153,168,"rgb(254,153,168)"
v1,87,6,13,253,153,173,"rgb(253,153,173)"
v1,88,6,14,252,153,178,"rgb(252,153,178)"
v1,89,6,15,251,153,183,"rgb(251,153,183)"
v2,0,1,1,238,139,177,"rgb(238,139,177)"
v2,1,1,2,236,139,183,"rgb(236,139,183)"
v2,2,1,3,233,140,189,"rgb(233,140,189)"
v2,3,1,4,231,140,194,"rgb(231,140,194)"
v2,4,1,5,228,141,200,"rgb(228,141,200)"
v2,5,1,6,225,142,205,"rgb(225,142,205)"
v2,6,1,7,221,143,210,"rgb(221,143,210)"
v2,7,1,8,218,144,215,"rgb(218,144,215)"
v2,8,1,9,214,146,220,"rgb(214,146,220)"
v2,9,1,10,210,147,224,"rgb(210,147,224)"
v2,10,1,11,206,148,229,"rgb(206,148,229)"
v2,11,1,12,201,150,233,"rgb(201,150,233)"
v2,12,1,13,197,152,236,"rgb(197,152,236)"
v2,13,1,14,192,153,240,"rgb(192,153,240)"
v2,14,1,15,187,155,243,"rgb(187,155,243)"
v2,15,2,1,182,157,246,"rgb(182,157,246)"
v2,16,2,2,176,159,248,"rgb(176,159,248)"
v2,17,2,3,171,161,250,"rgb(171,161,250)"
v2,18,2,4,165,163,252,"rgb(165,163,252)"
v2,19,2,5,159,165,253,"rgb(159,165,253)"
v2,20,2,6,153,167,254,"rgb(153,167,254)"
v2,21,2,7,146,169,255,"rgb(146,169,255)"
v2,22,2,8,140,171,255,"rgb(140,171,255)"
v2,23,2,9,133,173,255,"rgb(133,173,255)"
v2,24,2,10,126,175,255,"rgb(126,175,255)"
v2,25,2,11,119,177,254,"rgb(119,177,254)"
v2,26,2,12,112,179,253,"rgb(112,179,253)"
v2,27,2,13,104,181,251,"rgb(104,181,251)"
v2,28,2,14,96,182,249,"rgb(96,182,249)"
v2,29,2,15,88,184,247,"rgb(88,184,247)"
v2,30,3,1,80,186,244,"rgb(80,186,244)"
v2,31,3,2,72,188,241,"rgb(72,188,241)"
v2,32,3,3,63,189,237,"rgb(63,189,237)"
v2,33,3,4,54,191,234,"rgb(54,191,234)"
v2,34,3,5,45,192,230,"rgb(45,192,230)"
v2,35,3,6,36,194,226,"rgb(36,194,226)"
v2,36,3,7,26,195,221,"rgb(26,195,221)"
v2,37,3,8,16,196,216,"rgb(16,196,216)"
v2,38,3,9,6,197,211,"rgb(6,197,211)"
v2,39,3,10,2,198,206,"rgb(2,198,206)"
v2,40,3,11,5,199,201,"rgb(5,199,201)"
v2,41,3,12,14,199,195,"rgb(14,199,195)"
v2,42,3,13,25,200,189,"rgb(25,200,189)"
v2,43,3,14,35,200,183,"rgb(35,200,183)"
v2,44,3,15,45,200,177,"rgb(45,200,177)"
v2,45,4,1,54,200,171,"rgb(54,200,171)"
v2,46,4,2,63,200,165,"rgb(63,200,165)"
v2,47,4,3,72,200,159,"rgb(72,200,159)"
v2,48,4,4,81,199,153,"rgb(81,199,153)"
v2,49,4,5,90,199,146,"rgb(90,199,146)"
v2,50,4,6,98,198,140,"rgb(98,198,140)"
v2,51,4,7,106,197,134,"rgb(106,197,134)"
v2,52,4,8,114,196,127,"rgb(114,196,127)"
v2,53,4,9,122,195,121,"rgb(122,195,121)"
v2,54,4,10,129,194,115,"rgb(129,194,115)"
v2,55,4,11,137,193,109,"rgb(137,193,109)"
v2,56,4,12,144,191,103,"rgb(144,191,103)"
v2,57,4,13,151,190,98,"rgb(151,190,98)"
v2,58,4,14,158,188,93,"rgb(158,188,93)"
v2,59,4,15,164,186,87,"rgb(164,186,87)"
v2,60,5,1,170,184,83,"rgb(170,184,83)"
v2,61,5,2,176,182,78,"rgb(176,182,78)"
v2,62,5,3,182,180,75,"rgb(182,180,75)"
v2,63,5,4,188,178,71,"rgb(188,178,71)"
v2,64,5,5,193,176,69,"rgb(193,176,69)"
v2,65,5,6,198,174,67,"rgb(198,174,67)"
v2,66,5,7,203,171,66,"rgb(203,171,66)"
v2,67,5,8,208,169,66,"rgb(208,169,66)"
v2,68,5,9,212,167,66,"rgb(212,167,66)"
v2,69,5,10,216,164,68,"rgb(216,164,68)"
v2,70,5,11,220,162,70,"rgb(220,162,70)"
v2,71,5,12,224,160,73,"rgb(224,160,73)"
v2,72,5,13,227,158,76,"rgb(227,158,76)"
v2,73,5,14,230,156,80,"rgb(230,156,80)"
v2,74,5,15,233,154,85,"rgb(233,154,85)"
v2,75,6,1,235,152,89,"rgb(235,152,89)"
v2,76,6,2,238,150,94,"rgb(238,150,94)"
v2,77,6,3,239,148,100,"rgb(239,148,100)"
v2,78,6,4,241,146,105,"rgb(241,146,105)"
v2,79,6,5,242,145,111,"rgb(242,145,111)"
v2,80,6,6,243,144,117,"rgb(243,144,117)"
v2,81,6,7,244,142,122,"rgb(244,142,122)"
v2,82,6,8,244,141,128,"rgb(244,141,128)"
v2,83,6,9,245,140,134,"rgb(245,140,134)"
v2,84,6,10,244,140,141,"rgb(244,140,141)"
v2,85,6,11,244,139,147,"rgb(244,139,147)"
v2,86,6,12,243,139,153,"rgb(243,139,153)"
